Controller,Run,Total_Time,Total_Recoveries,Goal1_Time,Goal1_Recoveries,Goal2_Time,Goal2_Recoveries
DWB,5,158.41600251197815,4,91.85073804855347,4,62.560726165771484,0
DWB,1,133.94600319862366,1,75.1810576915741,1,54.76075720787048,0
DWB,4,116.62600040435791,0,60.16083097457886,0,52.4606032371521,0
DWB,2,152.0369598865509,7,93.87136006355286,7,54.16076850891113,0
DWB,3,216.575998544693,10,158.11067080497742,10,54.46085500717163,0
MPPI,3,112.8260064125061,4,56.481003522872925,1,52.34068274497986,3
MPPI,2,109.90600609779358,0,57.30111122131348,0,48.600717544555664,0
MPPI,4,111.10600328445435,3,52.90101456642151,3,54.20060896873474,0
MPPI,1,185.87700295448303,12,93.26127195358276,9,88.61068081855774,3
MPPI,5,107.72799348831177,6,52.56086349487305,0,51.16121029853821,6
